movie_id,Name of movie,Year of release,Rating,Votes,Genre
87,Berserk: Ougon Jidai-hen I - Haou no Tamago,2012,7.6,11122,"Animation,Action,Adventure"
88,The Den,2013,6.0,13438,"Horror,Mystery,Thriller"
89,Batman: The Killing Joke,2016,6.4,51280,"Animation,Action,Crime"
90,The Eyes of My Mother,2016,6.2,11700,"Drama,Horror,Thriller"
91,Der letzte Mann,1924,8.1,12999,Drama
92,Monkey Business,1931,7.5,11632,"Comedy,Musical"
93,Peter Pan,1953,7.3,129568,"Animation,Adventure,Family"
94,Village of the Damned,1960,7.3,15698,"Horror,Sci-Fi"
95,The Slumber Party Massacre,1982,5.7,12132,Horror
96,Chopping Mall,1986,5.6,12718,"Comedy,Horror,Sci-Fi"
97,The Rescuers Down Under,1990,6.9,39524,"Animation,Adventure,Crime"
98,Corpse Bride,2005,7.3,250177,"Animation,Drama,Family"
99,Dudley Do-Right,1999,3.9,10073,"Comedy,Family,Romance"
100,The Tigger Movie,2000,6.4,17622,"Animation,Comedy,Drama"
101,Stuart Little 2,2002,5.5,51295,"Animation,Adventure,Comedy"
102,Baise-moi,2000,4.5,16946,"Crime,Drama,Thriller"
103,Köyden Indim Sehire,1974,8.3,10091,"Adventure,Comedy,Crime"
104,Loving Annabelle,2006,6.3,12096,"Drama,Romance"
105,Terkel i knibe,2004,7.1,10068,"Animation,Comedy,Musical"
106,Primer,2004,6.9,100642,"Drama,Sci-Fi,Thriller"
107,Ils,2006,6.4,29399,"Horror,Thriller"
108,The Girlfriend Experience,2009,5.5,16040,Drama
109,Polytechnique,2009,7.2,14110,"Crime,Drama,History"
110,Creep,2014,6.3,45298,"Horror,Thriller"
111,Zombeavers,2014,4.8,17243,"Action,Comedy,Fantasy"
112,Germania anno zero,1948,7.9,11121,"Drama,War"
113,The Lavender Hill Mob,1951,7.6,13255,"Comedy,Crime"
114,Carnival of Souls,1962,7.1,21826,"Horror,Mystery"
115,The Jungle Book,1967,7.6,169544,"Animation,Adventure,Family"
116,The AristoCats,1970,7.1,96249,"Animation,Adventure,Comedy"
117,Fritz the Cat,1972,6.3,11723,"Animation,Comedy,Drama"
118,The Rescuers,1977,6.9,59708,"Animation,Adventure,Comedy"
119,Balto,1995,7.1,40686,"Animation,Adventure,Drama"
120,A Goofy Movie,1995,6.9,47790,"Animation,Adventure,Comedy"
121,The Emperor's New Groove,2000,7.4,185469,"Animation,Adventure,Comedy"
122,Inspector Gadget,1999,4.2,46081,"Action,Adventure,Comedy"
123,Rugrats in Paris: The Movie - Rugrats II,2000,6.2,11550,"Animation,Adventure,Comedy"
124,Astérix et les Vikings,2006,6.1,11184,"Animation,Adventure,Comedy"
125,[Rec],2007,7.4,168314,"Horror,Mystery,Thriller"
126,Creep 2,2017,6.5,21237,"Crime,Drama,Horror"
127,Batman: Gotham by Gaslight,2018,6.7,14354,"Animation,Action,Adventure"
128,"Yes, God, Yes",2019,6.1,11815,"Comedy,Drama"
129,Little Caesar,1931,7.2,12446,"Action,Crime,Drama"
130,Creature from the Black Lagoon,1954,7.0,27470,"Horror,Sci-Fi"
131,The Wild One,1953,6.8,14940,"Crime,Drama,Romance"
132,Plan 9 from Outer Space,1957,4.0,36786,"Horror,Sci-Fi"
133,House of Usher,1960,7.0,12350,"Drama,Horror"
134,One Hundred and One Dalmatians,1961,7.3,156684,"Animation,Adventure,Comedy"
135,The Sword in the Stone,1963,7.2,91506,"Animation,Adventure,Comedy"
136,Zelig,1983,7.7,40487,Comedy
137,"Silent Night, Deadly Night",1984,5.9,14015,"Horror,Thriller"
138,Astérix chez les Bretons,1986,7.1,10982,"Animation,Adventure,Comedy"
139,The Monster Squad,1987,7.0,29510,"Action,Comedy,Fantasy"
140,Showdown in Little Tokyo,1991,6.1,17008,"Action,Comedy,Crime"
141,PCU,1994,6.6,12289,Comedy
142,James and the Giant Peach,1996,6.7,61609,"Animation,Adventure,Family"
143,The Rugrats Movie,1998,5.9,18395,"Animation,Adventure,Comedy"
144,Open Water,2003,5.7,51664,"Adventure,Drama,Horror"
145,9,2009,7.1,134868,"Animation,Action,Adventure"
146,Murder Party,2007,5.8,10926,"Comedy,Crime,Drama"
147,6 Years,2015,5.6,11928,"Drama,Romance"
148,The Overnight,2015,6.1,16260,"Comedy,Mystery"
149,Saving Christmas,2014,1.4,15230,"Comedy,Family"
150,Grandma,2015,6.7,14931,"Comedy,Drama"
151,The Devil's Candy,2015,6.4,17726,"Drama,Horror,Thriller"
152,Rope,1948,8.0,132667,"Crime,Drama,Mystery"
153,Pickup on South Street,1953,7.7,13259,"Crime,Film-Noir,Thriller"
154,Invasion of the Body Snatchers,1956,7.7,45807,"Drama,Horror,Sci-Fi"
155,The Pit and the Pendulum,1961,7.1,13122,"Drama,Horror,Mystery"
156,Vivre sa vie: Film en douze tableaux,1962,8.0,29116,Drama
157,Death Race 2000,1975,6.2,25028,"Action,Comedy,Sci-Fi"
158,The Black Cauldron,1985,6.4,32838,"Animation,Action,Adventure"
159,Kyûketsuki hantâ D,1985,7.2,13550,"Animation,Action,Fantasy"
160,An American Tail,1986,6.9,49795,"Animation,Adventure,Comedy"
